NIP|DO NOT USE|NIP|NIP|1/100|LNB|+2 BUSINESS DAY|7:2
SLP|DO NOT USE|SLP|SLP|1/100|LNB|+2 BUSINESS DAY|7:2
AWG|ARUBA GUILDER|AWG|AWG|1/100|ORB|+2 BUSINESS DAY|7:2
BOB|Bolivian boliviano|BOB|BOB|1/100|LPB|+0 BUSINESS DAY|7:2
GIP|GIBRALTAR POUND|GIP|GIP|1/100|GIB|+2 BUSINESS DAY|7:2
HNL|Honduran lempira|HNL|HNL|1/100|TEB|+2 BUSINESS DAY|7:2
NIO|NICARAGUA CORDOBA ORO|NIO|NIO|1/100|MGB|+2 BUSINESS DAY|7:2
AOA|Angolan Kwanza|AOA|AOA|1|LDB|+2 BUSINESS DAY|7:2
MVR|MALDIVIAN RUFIYAA|MVR|MVR|1/100|MLB|+2 BUSINESS DAY|7:2
ID2|RUPIAH - OFFSHORE DELIVERABLE|ID2|IDR|1|JAB|+2 BUSINESS DAY|7:2
ID3|RUPIAH - ONSHORE NON DELI|ID3|IDR|1|JAB|+2 BUSINESS DAY|7:2
EG1|EGYPTIAN POUND - OFFSHORE|EG1|EGP|1/100|CRB|+2 BUSINESS DAY|7:2
PK1|PAKISTAN RUPEE - OFFSHORE|PK1|PKR|1/100|KAB|+2 BUSINESS DAY|7:2
AR1|ARGENTINE PESO - OFFSHORE|AR1|ARS|1/100|BAB|+2 BUSINESS DAY|7:2
BR1|BRAZILIAN REAL - OFFSHORE|BR1|BRL|1/100|SPB|+2 BUSINESS DAY|7:2
KZ1|TENGE - OFFSHORE|KZ1|KZT|1/100|AYB|+2 BUSINESS DAY|7:2
CL1|CHILEAN PESO - OFFSHORE|CL1|CLP|1|SAB|+2 BUSINESS DAY|7:2
VCS|Verified Carbon Credit||VCS|1/10|LNB|+2 BUSINESS DAY|7:2
CEA|Carbon Alllowance||CEA|1/10|BEB|+2 BUSINESS DAY|7:2
CN4|CNY - Onshore ND (Hard CCY)|CN4|CNY|1/100|BEB|+2 BUSINESS DAY|7:2
IN4|INR - Onshore ND (Hard CCY)|IN4|INR|1/100|BMB|+2 BUSINESS DAY|7:2
ID4|RUPIAH - Onshore ND (Hard CCY)|ID4|IDR|1|JAB|+2 BUSINESS DAY|7:2
